date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:20	404/404	---M-Z	200	added ('OK')	application/x-javascript	etag:%22194-5fb7f227-9315c89d29772dd4;gz%22	https://techbtt.site/js/cbpAnimatedHeader.min.js	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/js/cbpAnimatedHeader.min.js	(from https://techbtt.site/)
22:18:20	412/412	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22267-5fb7f227-fe92ffd8c2801260;gz%22	https://techbtt.site/js/parallax.js	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/js/parallax.js	(from https://techbtt.site/)
22:18:20	7370/7370	---M-Z	200	added ('OK')	application/x-javascript	etag:%221cca-5fb7f227-b2a5c40a7264e527;gz%22	https://techbtt.site/js/remodal.min.js	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/js/remodal.min.js	(from https://techbtt.site/)
22:18:20	6877/6877	---M-Z	200	added ('OK')	application/x-javascript	etag:%221add-5fb7f227-422ee012e560eaaf;gz%22	https://techbtt.site/js/ScrollTrigger.min.js	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/js/ScrollTrigger.min.js	(from https://techbtt.site/)
22:18:21	3185/3185	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22c71-5fb7f227-d4ded00080386e2a;gz%22	https://techbtt.site/js/easing.js	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/js/easing.js	(from https://techbtt.site/)
22:18:21	1330/1330	---M-Z	200	added ('OK')	application/x-javascript	etag:%22532-5fb7f227-5f4926fb8845c1d1;gz%22	https://techbtt.site/js/jquery.ui.totop.min.js	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/js/jquery.ui.totop.min.js	(from https://techbtt.site/)
22:18:21	10754/10754	---M-Z	200	added ('OK')	application/x-javascript	etag:%222a02-5fb7f227-7dfdaa2082f0c71;gz%22	https://techbtt.site/js/clipboard.min.js	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/js/clipboard.min.js	(from https://techbtt.site/)
22:18:21	39858/39858	---M-Z	200	added ('OK')	application/x-javascript	etag:%229bb2-600305c0-21613e58cd8cb604;gz%22	https://techbtt.site/js/site.min.js?v=0.4028	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/js/site.min9e12.js	(from https://techbtt.site/)
22:18:22	12071/12071	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2245a4-60030f5b-9bea9e1908a15cd5;gz%22	https://techbtt.site/js/walimit.js?v=0.4028	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/js/walimit9e12.js	(from https://techbtt.site/)
22:18:22	2194/2194	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2014%20Feb%202021%2003:18:24%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2	C:/Users/educa/Documents/Ford/bancamovil/translate.google.com/translate_a/element.2b7876.delayed	(from https://techbtt.site/)
22:18:23	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260229bea-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	C:/Users/educa/Documents/Ford/bancamovil/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://techbtt.site/)
